episode,t,global_t,g_reward,legit_traffic,total_load
0,0,0,0.11352666904855198,0.11352666904855198,77.8144982068478
0,1,1,0.0,0.0,91.10209998340483
0,2,2,0.00011199788075756246,0.00011199788075756246,88.91514311016526
0,3,3,0.024026667410016477,0.024026667410016477,85.90915523913694
0,4,4,0.07260444595461636,0.07260444595461636,100.91634780845402
0,5,5,0.07727837093935284,0.07727837093935284,91.47174289040943
0,6,6,0.07715332908370391,0.07715332908370391,88.83756792167105
0,7,7,0.3000724767288697,0.3000724767288697,120.63459460533683
0,8,8,0.029512657499229232,0.029512657499229232,83.13167395925284
0,9,9,0.032101596078683715,0.032101596078683715,97.31891762427671
