episode,t,global_t,g_reward,legit_traffic,total_load
0,0,0,0.06383481177815864,0.06383481177815864,4.69724663621793
0,1,1,0.09867384207707035,0.09867384207707035,5.351542935699159
0,2,2,0.045947011478569694,0.045947011478569694,5.153719925119738
0,3,3,0.09276595411337506,0.09276595411337506,5.197956416591897
0,4,4,0.0733442527563043,0.0733442527563043,6.086813684950543
0,5,5,0.08739275674066667,0.08739275674066667,5.846807434448425
0,6,6,0.1355518695747228,0.1355518695747228,4.641473113234586
0,7,7,0.13965739534160346,0.13965739534160346,6.159423024978644
0,8,8,0.11779709620364147,0.11779709620364147,5.3274362952520535
0,9,9,0.09541287313333986,0.09541287313333986,8.941874739315967
0,10,10,0.09473663376503183,0.09473663376503183,4.084915589417847
0,11,11,0.10114394869915626,0.10114394869915626,3.495024164768733
0,12,12,0.09845558194702052,0.09845558194702052,7.029388140982267
0,13,13,0.09471632399771317,0.09471632399771317,4.513804474738347
0,14,14,0.05643324624174377,0.05643324624174377,5.768482959443899
0,15,15,0.06702303588456485,0.06702303588456485,4.112834517818808
0,16,16,0.082046028703122,0.082046028703122,5.327350595186514
0,17,17,0.15040338452059213,0.15040338452059213,7.8925532957707105
0,18,18,0.09638205931633444,0.09638205931633444,6.7409948702250055
0,19,19,0.11053992564848791,0.11053992564848791,4.818155224924255
0,20,20,0.13301084865262758,0.13301084865262758,7.667815206137328
0,21,21,0.08004986413934624,0.08004986413934624,5.412376994362117
0,22,22,0.10814806184121396,0.10814806184121396,6.484142341491591
0,23,23,0.08980335992771965,0.08980335992771965,7.567740787641192
0,24,24,0.09421322407294871,0.09421322407294871,6.51181350594443
0,25,25,0.08144816611566437,0.08144816611566437,6.139268167941169
0,26,26,0.11614204947864422,0.11614204947864422,5.832595874840582
0,27,27,0.06296910127981588,0.06296910127981588,7.390379800372832
0,28,28,0.12716276601169,0.12716276601169,4.936201372756093
0,29,29,0.09191493043862295,0.09191493043862295,4.6115260995097085
0,30,30,0.10038889390515657,0.10038889390515657,4.543163920643984
0,31,31,0.04360777013104462,0.04360777013104462,5.319343855536477
0,32,32,0.08787996307918136,0.08787996307918136,5.379765006652162
0,33,33,0.10316715356427661,0.10316715356427661,6.894051603755395
0,34,34,0.08791457538737656,0.08791457538737656,4.13385529411876
0,35,35,0.07326401001114562,0.07326401001114562,7.943729074331046
0,36,36,0.10531442662893742,0.10531442662893742,7.2308802625920565
0,37,37,0.0844270131164269,0.0844270131164269,2.8585792068100977
0,38,38,0.09410142956303853,0.09410142956303853,4.862723415321033
